rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3480,7673192,K02722.02,Kepler-402 e,CONFIRMED,CANDIDATE,1,0,0,0,0,11.24284815,7.65E-05,-7.65E-05,0,,,0.52,0.102,-0.406,4.241,0.156,-0.156,136,8.30E+00,-8.30E+00,0.010988,2.31E-04,-6.37E-04,0.81171,0.64899,-0.01094,1.44,0.25,-2.20E-01,0.0988,,,88.3,,,931,,,17.57,7,-7,6052,121,-133,4.285,0.137,-0.112,1.202,0.208,-0.189,288.37024,43.35461,13.268
3481,7673192,K02722.03,Kepler-402 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,4.02877097,2.40E-05,-2.40E-05,0,,,0.193,0.265,-0.193,3.173,0.133,-0.133,100.4,6.00E+00,-6.00E+00,0.009204,4.49E-04,-2.74E-04,1.03961,0.17346,-0.41241,1.21,0.21,-1.90E-01,0.0498,,,88.85,,,1311,,,9.63,1.6,-1.6,6052,121,-133,4.285,0.137,-0.112,1.202,0.208,-0.189,288.37024,43.35461,13.268
3482,7673192,K02722.04,Kepler-402 d,CONFIRMED,CANDIDATE,0.999,0,0,0,0,8.92114318,7.24E-05,-7.24E-05,0,,,0.12,0.336,-0.12,3.933,0.183,-0.183,110.8,7.80E+00,-7.80E+00,0.009647,5.66E-04,-3.05E-04,1.24769,0.21908,-0.47256,1.27,0.22,-2.00E-01,0.0847,,,89.6,,,1006,,,17.38,3.1,-3.1,6052,121,-133,4.285,0.137,-0.112,1.202,0.208,-0.189,288.37024,43.35461,13.268
3483,7673192,K02722.05,,CANDIDATE,CANDIDATE,0.887,0,0,0,0,16.5340022,2.43E-04,-2.43E-04,0,,,0.525,0.433,-0.326,4.063,0.374,-0.374,89.2,1.04E+01,-1.04E+01,0.008904,2.87E-04,-9.37E-04,1.32994,1.12829,-0.46898,1.17,0.2,-1.90E-01,0.1278,,,88.88,,,819,,,26.8,11.4,-11.4,6052,121,-133,4.285,0.137,-0.112,1.202,0.208,-0.189,288.37024,43.35461,13.268
3484,3346154,K02723.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,1.952711161,2.26E-06,-2.26E-06,0,,,0.962,0.024,-0.682,0.872,0.0356,-0.0356,403,1.89E+01,-1.89E+01,0.024933,9.25E-04,-6.21E-03,1.13937,46.11599,-1.66903,2.58,0.76,-2.60E-01,0.0308,,,80.96,,,1403,,,6.12,3.1,-3.1,5741,154,-188,4.495,0.052,-0.208,0.946,0.279,-0.093,292.42749,38.472912,14.575
3485,5308387,K02724.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,0.620739667,1.79E-06,-1.79E-06,0,,,1.158,0.522,-0.084,2.477,0.116,-0.116,108.2,4.20E+00,-4.20E+00,0.167382,5.18E-01,-8.24E-02,0.08374,0.1456,-0.02262,29.28,8.35,-8.35E+00,0.0154,,,14.24,,,2947,,,1.195,0.519,-0.519,6559,155,-214,4.133,0.214,-0.175,1.602,0.457,-0.457,299.50751,40.477428,12.878
3486,6233573,K02725.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,0.587470828,9.21E-07,-9.21E-07,0,,,1.161,0.784,-0.001,2.4382,0.0828,-0.0828,193.8,4.90E+00,-4.90E+00,0.175174,7.79E-01,-1.08E-03,0.0976,0.27771,-0.02604,51.02,13.94,-3.25E+01,0.0147,,,16.62,,,3434,,,1.212,0.575,-0.575,5787,193,-176,3.678,0.756,-0.178,2.667,0.729,-1.7,299.06491,41.508301,13.744
3487,10363281,K02726.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.934924739,3.86E-06,-3.86E-06,0,,,0.309,0.173,-0.309,2.052,0.119,-0.119,73.8,4.60E+00,-4.60E+00,0.007993,3.86E-04,-3.07E-04,0.85111,0.40217,-0.25588,2.29,0.37,-8.60E-01,0.0215,,,84.79,,,3156,,,3.4,1.6,-1.6,6477,176,-176,3.781,0.312,-0.098,2.628,0.422,-0.985,299.62952,47.479809,12.31
3488,4861527,K02727.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,25.7054557,2.77E-04,-2.77E-04,0,,,0.722,28.08,-0.27,6.059,0.327,-0.327,266.3,9.60E+00,-9.60E+00,0.016043,2.78E+01,-9.11E-03,0.35719,0.6967,-0.35569,1.75,0.56,-1.80E-01,0.1734,,,88.22,,,670,,,23.2,11.3,-11.3,6326,169,-207,4.459,0.054,-0.216,1.001,0.32,-0.107,297.98141,39.900162,13.859
3489,4178606,K02728.01,Kepler-1326 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,42.3520039,3.32E-04,-3.32E-04,0,,,0.659,0.276,-0.441,7.773,0.169,-0.169,512.6,1.93E+01,-1.93E+01,0.021934,3.72E-03,-1.02E-03,0.3625,0.38463,-0.25245,6.3,1.13,-2.09E+00,0.2743,,,88.84,,,938,,,32.5,11.5,-11.5,6864,184,-225,3.783,0.285,-0.095,2.632,0.471,-0.875,296.22214,39.268959,12.852
3490,12008872,K02729.01,Kepler-1327 b,CONFIRMED,CANDIDATE,1,0,0,0,0,14.8877665,7.76E-05,-7.76E-05,0,,,0.795,0.134,-0.576,4.981,0.131,-0.131,252.5,1.02E+01,-1.02E+01,0.016055,2.48E-03,-1.50E-03,0.25852,0.76161,-0.03825,1.96,0.6,-3.30E-01,0.1186,,,86.85,,,831,,,14.47,7.1,-7.1,6143,164,-200,4.344,0.132,-0.198,1.116,0.344,-0.185,289.06485,50.460972,13.914
3491,8415200,K02730.01,Kepler-1328 b,CONFIRMED,CANDIDATE,0.989,0,0,0,0,4.52158614,2.29E-05,-2.29E-05,0,,,0.203,0.251,-0.203,3.4702,0.0988,-0.0988,106.2,4.70E+00,-4.70E+00,0.009333,3.79E-04,-2.90E-04,0.88677,0.15553,-0.26285,1.31,0.21,-2.40E-01,0.0529,,,88.82,,,1214,,,9.86,1.7,-1.7,5576,83,-75,4.201,0.182,-0.112,1.289,0.198,-0.242,284.67538,44.41777,13.836
3492,4072333,K02731.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,2.007750531,6.51E-06,-6.51E-06,0,,,0.42,0.05,-0.407,2.0715,0.0886,-0.0886,352,1.90E+01,-1.90E+01,0.017357,4.51E-04,-8.88E-04,1.53788,0.63651,-0.41931,1.64,0.37,-1.60E-01,0.0308,,,86.51,,,1319,,,6.89,2.9,-2.9,5645,169,-169,4.549,0.04,-0.16,0.865,0.193,-0.083,295.33014,39.16254,15.664
3493,9886361,K02732.01,Kepler-403 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.03146295,3.69E-05,-3.69E-05,0,,,0.014,0.433,-0.014,5.922,0.112,-0.112,85.4,2.70E+00,-2.70E+00,0.008449,2.68E-04,-1.96E-04,0.29459,0.01659,-0.09956,1.38,0.25,-2.20E-01,0.0779,,,89.91,,,1194,,,9.165,0.516,-0.516,6170,110,-135,4.192,0.137,-0.125,1.499,0.272,-0.245,289.92145,46.74456,12.805
3494,9886361,K02732.02,Kepler-403 d,CONFIRMED,CANDIDATE,0.948,0,0,0,0,13.61165024,8.50E-05,-8.50E-05,0,,,0.112,0.337,-0.112,7.617,0.14,-0.14,95.5,3.30E+00,-3.30E+00,0.008943,3.06E-04,-1.87E-04,0.2626,0.01325,-0.09426,1.46,0.27,-2.40E-01,0.1211,,,89.53,,,958,,,13.701,0.691,-0.691,6170,110,-135,4.192,0.137,-0.125,1.499,0.272,-0.245,289.92145,46.74456,12.805
3495,9886361,K02732.03,Kepler-403 c,CONFIRMED,CANDIDATE,0.986,0,0,0,0,54.2811949,3.81E-04,-3.81E-04,0,,,0.85,0.056,-0.574,5.517,0.175,-0.175,147.8,7.60E+00,-7.60E+00,0.012667,1.72E-03,-1.59E-03,0.4558,2.14834,-0.35067,2.07,0.38,-3.40E-01,0.3044,,,88.82,,,604,,,41.4,19.5,-19.5,6170,110,-135,4.192,0.137,-0.125,1.499,0.272,-0.245,289.92145,46.74456,12.805
