rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1604,3447722,K01198.01,Kepler-275 c,CONFIRMED,CANDIDATE,0.986,0,0,0,0,16.08832318,8.78E-05,-8.78E-05,0,,,0.648,0.29,-0.43,5.731,0.143,-0.143,597.8,1.97E+01,-1.97E+01,0.023572,5.16E-03,-1.15E-03,0.36003,0.3675,-0.28422,3.42,0.58,-5.80E-01,0.1281,,,87.82,,,875,,,17.02,5.8,-5.8,6157,123,-123,4.224,0.149,-0.108,1.33,0.225,-0.225,292.47971,38.514919,15.319
1605,3447722,K01198.02,Kepler-275 b,CONFIRMED,CANDIDATE,0.994,0,0,0,0,10.30067919,9.16E-05,-9.16E-05,0,,,0.004,0.452,-0.004,4.885,0.207,-0.207,271.8,1.72E+01,-1.72E+01,0.015115,7.74E-04,-4.50E-04,0.78116,0.05575,-0.3274,2.2,0.37,-3.80E-01,0.0951,,,89.99,,,1015,,,16.36,1.2,-1.2,6157,123,-123,4.224,0.149,-0.108,1.33,0.225,-0.225,292.47971,38.514919,15.319
1606,3447722,K01198.03,Kepler-275 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,35.6757453,3.53E-04,-3.53E-04,0,,,0.61,0.31,-0.39,7.381,0.234,-0.234,471.2,2.57E+01,-2.57E+01,0.020763,3.82E-03,-9.32E-04,0.41077,0.34658,-0.33657,3.02,0.51,-5.10E-01,0.2178,,,88.84,,,671,,,30.2,12.8,-12.8,6157,123,-123,4.224,0.149,-0.108,1.33,0.225,-0.225,292.47971,38.514919,15.319
1607,3859079,K01199.01,Kepler-786 b,CONFIRMED,CANDIDATE,1,0,0,0,0,53.5292702,2.68E-04,-2.68E-04,0,,,0.346,0.104,-0.346,5.668,0.122,-0.122,1086.1,3.57E+01,-3.57E+01,0.029542,7.32E-04,-1.24E-03,2.25989,0.60474,-0.46466,2.28,0.15,-8.00E-02,0.2548,,,89.72,,,348,,,70,18.7,-18.7,4736,94,-94,4.624,0.012,-0.048,0.708,0.046,-0.025,293.74393,38.939281,14.887
1608,4061149,K01201.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,2.757584622,6.94E-06,-6.94E-06,0,,,0.093,0.352,-0.093,0.9267,0.0793,-0.0793,563.1,3.70E+01,-3.70E+01,0.021901,6.26E-04,-1.32E-03,30.83073,36.09737,-14.54978,1.01,0.11,-1.30E-01,0.0296,,,89.77,,,615,,,23.14,9,-9,3683,73,-88,4.84,0.05,-0.055,0.424,0.045,-0.055,292.57703,39.12088,15.597
1609,3444588,K01202.01,Kepler-787 b,CONFIRMED,CANDIDATE,0.99,0,0,0,0,0.928310036,2.16E-06,-2.16E-06,0,,,0.181,0.277,-0.181,1.1899,0.0617,-0.0617,376.2,2.05E+01,-2.05E+01,0.017601,8.75E-04,-6.18E-04,4.74015,1.05127,-1.81378,1.16,0.05,-6.00E-02,0.0159,,,88.27,,,1115,,,6,1.3,-1.3,4109,82,-82,4.672,0.022,-0.025,0.602,0.027,-0.03,291.69247,38.572899,15.854
1610,3962243,K01203.01,Kepler-276 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,31.8841473,2.10E-04,-2.10E-04,0,,,0.938,0.007,-0.682,6.122,0.217,-0.217,910,3.74E+01,-3.74E+01,0.03477,1.30E-05,-7.40E-03,0.09877,1.68123,-0.00594,3.7,0.6,-2.00E-01,0.1994,,,86.92,,,563,,,17.44,8.5,-8.5,5779,78,-86,4.477,0.032,-0.128,0.974,0.158,-0.053,293.56815,39.03632,15.368
1611,3962243,K01203.02,Kepler-276 b,CONFIRMED,CANDIDATE,0.985,0,0,0,0,14.12847677,6.65E-05,-6.65E-05,0,,,0.811,0.116,-0.571,3.685,0.119,-0.119,628.7,2.92E+01,-2.92E+01,0.025658,2.89E-03,-2.93E-03,0.59017,1.97767,-0.444,2.73,0.44,-1.50E-01,0.1159,,,87.47,,,739,,,18.4,8.8,-8.8,5779,78,-86,4.477,0.032,-0.128,0.974,0.158,-0.053,293.56815,39.03632,15.368
1612,3962243,K01203.03,Kepler-276 d,CONFIRMED,CANDIDATE,0.829,0,0,0,0,48.6478543,7.43E-04,-7.43E-04,0,,,0.988,69.78,-0.682,5.464,0.515,-0.515,641.8,6.05E+01,-6.05E+01,0.038915,6.97E+01,-6.51E-01,0.08459,23.07582,-0.04989,4.14,0.67,-2.30E-01,0.2642,,,87.42,,,489,,,22,11,-11,5779,78,-86,4.477,0.032,-0.128,0.974,0.158,-0.053,293.56815,39.03632,15.368
1613,3438507,K01204.01,Kepler-788 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.39842977,5.66E-05,-5.66E-05,0,,,0.573,0.037,-0.462,6.344,0.143,-0.143,340.1,1.36E+01,-1.36E+01,0.01755,3.45E-03,-6.28E-04,0.16709,0.09811,-0.15594,2,0.64,-2.10E-01,0.0835,,,86.16,,,984,,,8.54,2.5,-2.5,6309,175,-219,4.441,0.067,-0.216,1.044,0.335,-0.112,290.0004,38.53989,15.291
1614,3869014,K01205.01,Kepler-789 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.63847391,3.52E-05,-3.52E-05,0,,,0.049,0.371,-0.048,5.4566,0.0903,-0.0903,395.9,1.18E+01,-1.18E+01,0.017995,5.85E-04,-3.41E-04,0.47312,0.03216,-0.12531,5.99,1.17,-2.19E+00,0.0951,,,89.77,,,1419,,,12.312,0.837,-0.837,5684,85,-76,3.657,0.3,-0.1,3.046,0.598,-1.111,295.97516,38.94664,14.507
1615,3732821,K01207.01,Kepler-790 b,CONFIRMED,CANDIDATE,1,0,0,0,0,13.73474071,4.21E-05,-4.21E-05,0,,,0.941,0.011,-0.658,2.769,0.137,-0.137,746.4,2.79E+01,-2.79E+01,0.032176,4.90E-05,-6.67E-03,0.41658,8.07042,-0.15461,2.71,0.31,-3.10E-01,0.101,,,86.64,,,634,,,16.08,8,-8,5196,153,-138,4.524,0.088,-0.072,0.772,0.088,-0.088,286.91711,38.872219,15.187
1616,3962357,K01210.01,Kepler-791 b,CONFIRMED,CANDIDATE,1,0,0,0,0,14.55387488,9.87E-05,-9.87E-05,0,,,0.955,0.012,-0.671,6.973,0.28,-0.28,319.7,1.33E+01,-1.33E+01,0.020953,2.90E-05,-4.38E-03,0.01771,0.50934,-0.00632,3.45,0.62,-6.30E-01,0.1256,,,80.57,,,939,,,5.83,2.9,-2.9,6143,73,-85,4.177,0.149,-0.122,1.507,0.273,-0.273,293.59583,39.02948,14.377
1617,3858704,K01211.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,3.00363219,1.36E-05,-1.36E-05,0,,,0.727,0,-0.537,3.732,0.111,-0.111,101.2,3.20E+00,-3.20E+00,0.009909,1.09E-03,-5.35E-04,0.17722,0.30348,-0.14157,1.43,0.24,-2.40E-01,0.0414,,,80.46,,,1571,,,4.39,1.9,-1.9,6309,88,-75,4.217,0.149,-0.108,1.32,0.224,-0.224,293.64841,38.976021,12.476
1618,3749134,K01212.01,Kepler-792 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,11.30123036,7.53E-05,-7.53E-05,0,,,0.117,0.329,-0.117,4.022,0.142,-0.142,277.1,1.66E+01,-1.66E+01,0.015086,6.78E-04,-6.05E-04,1.50389,0.12747,-0.55973,1.85,0.28,-2.30E-01,0.0988,,,89.69,,,852,,,21.65,1.8,-1.8,5730,77,-77,4.34,0.11,-0.11,1.122,0.169,-0.138,292.00681,38.820728,14.981
1619,3556220,K01213.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,0.796722833,1.89E-06,-1.89E-06,0,,,0.601,0.141,-0.385,2.4551,0.0812,-0.0812,107.1,3.00E+00,-3.00E+00,0.00991,2.90E-05,-5.41E-04,0.29755,0.22422,-0.04051,1.44,0.22,-3.50E-01,0.016,,,73.79,,,2401,,,2.153,0.811,-0.811,5959,80,-71,4.121,0.231,-0.099,1.334,0.199,-0.324,294.35049,38.602131,13.379
1620,3660924,K01214.01,Kepler-793 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.24153629,2.20E-05,-2.20E-05,0,,,0.257,0.187,-0.257,2.971,0.147,-0.147,188.1,1.24E+01,-1.24E+01,0.012577,5.71E-04,-5.05E-04,1.28761,0.28139,-0.45718,1.44,0.39,-2.80E-01,0.0491,,,88.62,,,1177,,,10.7,2.3,-2.3,5776,172,-155,4.34,0.185,-0.185,1.047,0.283,-0.206,295.21664,38.77433,14.621
1621,3939150,K01215.01,Kepler-277 b,CONFIRMED,CANDIDATE,1,0,0,0,0,17.32419108,6.37E-05,-6.37E-05,0,,,0.764,0.148,-0.531,8.045,0.102,-0.102,241.3,5.30E+00,-5.30E+00,0.0155,1.12E-03,-1.18E-03,0.08469,0.16714,-0.06331,3.14,0.45,-7.60E-01,0.1385,,,86.03,,,964,,,11.03,5.4,-5.4,5968,120,-108,3.972,0.21,-0.084,1.857,0.264,-0.452,286.58316,39.077202,13.42
1622,3939150,K01215.02,Kepler-277 c,CONFIRMED,CANDIDATE,0.999,0,0,0,0,33.0063185,1.49E-04,-1.49E-04,0,,,0.39,0.063,-0.39,7.118,0.12,-0.12,278.1,7.60E+00,-7.60E+00,0.015448,2.37E-04,-4.96E-04,0.63651,0.18884,-0.12325,3.13,0.45,-7.60E-01,0.2129,,,89.33,,,778,,,33.22,9.9,-9.9,5968,120,-108,3.972,0.21,-0.084,1.857,0.264,-0.452,286.58316,39.077202,13.42
1623,3839488,K01216.01,Kepler-794 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.13127159,3.51E-05,-3.51E-05,0,,,0.01,0.42,-0.01,4.2372,0.0749,-0.0749,211.2,6.70E+00,-6.70E+00,0.013138,4.62E-04,-2.60E-04,1.28479,0.03385,-0.44145,2.06,0.35,-3.90E-01,0.1036,,,89.97,,,952,,,20.34,0.536,-0.536,5800,105,-117,4.202,0.156,-0.117,1.435,0.247,-0.271,288.1337,38.99688,13.459
1624,3542588,K01217.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,3.47143963,2.08E-05,-2.08E-05,0,,,0.719,0.196,-0.473,3.663,0.174,-0.174,99.8,4.40E+00,-4.40E+00,0.009818,1.25E-03,-6.39E-04,0.22044,0.32579,-0.17914,1.19,0.38,-1.50E-01,0.0471,,,82.04,,,1358,,,5.2,2.6,-2.6,6341,153,-191,4.409,0.054,-0.216,1.111,0.353,-0.141,290.86142,38.641129,13.599
1625,3442055,K01218.01,Kepler-795 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,29.6193891,1.10E-04,-1.10E-04,0,,,0.046,0.395,-0.046,4.9595,0.0926,-0.0926,314.7,8.60E+00,-8.60E+00,0.016028,5.63E-04,-2.41E-04,2.14179,0.19319,-0.62394,1.74,0.24,-1.90E-01,0.1817,,,89.94,,,580,,,46.31,4.2,-4.2,5618,112,-101,4.401,0.1,-0.1,0.996,0.133,-0.109,291.01904,38.54557,13.331
1626,4043190,K01220.01,Kepler-796 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,6.40087137,2.28E-05,-2.28E-05,0,,,0.861,0.056,-0.596,2.5561,0.0834,-0.0834,133.6,6.30E+00,-6.30E+00,0.012298,1.90E-05,-1.86E-03,0.49446,2.68225,-0.00021,1.91,0.33,-5.00E-01,0.0662,,,85.17,,,1109,,,10.23,5,-5,5426,119,-76,4.107,0.227,-0.105,1.421,0.247,-0.371,287.30786,39.14473,12.988
1627,3640905,K01221.01,Kepler-278 b,CONFIRMED,CANDIDATE,1,0,0,0,0,30.1599411,1.76E-04,-1.76E-04,0,,,0.802,0.021,-0.558,7.874,0.13,-0.13,175.9,5.80E+00,-5.80E+00,0.013612,1.89E-03,-1.66E-03,0.12435,0.3576,-0.09355,4.54,0.3,-6.10E-01,0.213,,,87.47,,,836,,,18.15,8.7,-8.7,5010,51,-103,3.62,0.06,-0.055,3.051,0.202,-0.404,290.10718,38.702229,11.584
1628,3640905,K01221.02,Kepler-278 c,CONFIRMED,CANDIDATE,0.981,0,0,0,0,51.0771048,5.57E-04,-5.57E-04,0,,,0.498,0.011,-0.443,11.233,0.249,-0.249,141.5,6.20E+00,-6.20E+00,0.010971,2.33E-03,-4.22E-04,0.20697,0.11024,-0.02365,3.66,0.24,-4.90E-01,0.3027,,,89.07,,,702,,,30.56,8.1,-8.1,5010,51,-103,3.62,0.06,-0.055,3.051,0.202,-0.404,290.10718,38.702229,11.584
1629,6613006,K01223.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,7.388833611,8.07E-07,-8.07E-07,0,,,0.799,0.001,-0.001,5.62857,0.0063,-0.0063,13063.5,1.09E+01,-1.09E+01,0.116455,8.40E-05,-1.11E-04,0.16905,0.00108,-0.00127,10.66,3.06,-9.60E-01,0.0724,,,84.17,,,877,,,7.8723,0.0503,-0.0503,5845,139,-157,4.558,0.036,-0.192,0.838,0.241,-0.075,293.8129,42.04871,13.209
1630,6606653,K01224.01,,FALSE POSITIVE,FALSE POSITIVE,0.285,0,1,0,0,2.698021895,2.62E-06,-2.62E-06,0,,,1.3,0.056,-0.047,23.192,0.18,-0.18,6721.2,3.08E+01,-3.08E+01,0.397083,5.24E-02,-4.44E-02,0.00741,0.00076,-0.00076,52.51,16.96,-6.07E+00,0.0406,,,23.5,,,1582,,,1.418,0.145,-0.145,6568,161,-201,4.36,0.065,-0.208,1.211,0.391,-0.14,291.98694,42.037651,13.717
1631,6620003,K01225.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.714274727,1.12E-07,-1.12E-07,0,,,1.182,0.046,-0.065,2.06728,0.00291,-0.00291,28460.1,3.45E+01,-3.45E+01,0.427965,4.34E-02,-5.25E-02,0.92035,0.01914,-0.02281,25,0.98,-1.21E+00,0.0229,,,76.93,,,827,,,5.229,0.109,-0.109,3874,52,-58,4.715,0.03,-0.015,0.535,0.021,-0.026,295.62222,42.09288,15.686
1632,6621116,K01226.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,137.759605,3.35E-05,-3.35E-05,0,,,0.776,0.009,-0.008,9.1713,0.0149,-0.0149,83298,1.38E+02,-1.38E+02,0.31234,4.16E-03,-3.88E-03,1.78649,0.01157,-0.01794,49.52,7.75,-1.80E+01,0.5108,,,89.63,,,396,,,121.468,0.787,-0.787,5323,79,-79,4.085,0.376,-0.094,1.452,0.227,-0.529,295.86691,42.062672,15.324
1633,6629332,K01227.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,2.155278342,1.01E-06,-1.01E-06,0,,,0.926,3.878,-0.081,2.1064,0.0248,-0.0248,20739,1.82E+02,-1.82E+02,0.18861,3.78E+00,-3.52E-02,0.84132,4.25792,-0.16824,16.89,3.93,-1.57E+00,0.0316,,,80.99,,,1272,,,5.91,2.7,-2.7,5665,152,-152,4.568,0.038,-0.152,0.82,0.191,-0.076,297.70712,42.047371,13.997
1634,6387450,K01228.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,3.661326482,7.15E-07,-7.15E-07,0,,,0.812,0.004,-0.005,2.5714,0.013,-0.013,17846,6.11E+01,-6.11E+01,0.138476,5.71E-04,-6.09E-04,0.93987,0.02756,-0.02637,12.07,1.66,-1.50E+00,0.042,,,84.67,,,1023,,,8.733,0.256,-0.256,5319,175,-159,4.501,0.1,-0.1,0.798,0.11,-0.099,298.09171,41.794128,14.349
1635,6470149,K01230.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,165.739861,1.77E-04,-1.77E-04,0,,,0.263,0.056,-0.114,24.9393,0.0747,-0.0747,7343.4,1.58E+01,-1.58E+01,0.077087,1.03E-04,-7.28E-04,0.10274,0.00956,-0.00285,57.54,3.59,-1.00E+01,0.7004,,,89.72,,,692,,,53.04,4.9,-4.9,5019,51,-103,2.99,0.018,-0.016,6.836,0.426,-1.192,298.94815,41.812149,12.263
1636,6462874,K01231.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,22.34293693,8.37E-05,-8.37E-05,0,,,0.001,0.364,-0.001,7.0813,0.0989,-0.0989,2691.1,6.65E+01,-6.65E+01,0.046145,1.37E-03,-5.71E-04,0.60813,0.02345,-0.12971,2.92,0.22,-3.00E-01,0.1284,,,90,,,399,,,25.224,0.973,-0.973,4260,115,-140,4.663,0.06,-0.024,0.58,0.044,-0.06,297.33563,41.89048,15.719
1637,6462874,K01231.02,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,1,10.42360821,8.58E-05,-8.58E-05,0,,,0.001,0.455,-0.001,5.404,0.199,-0.199,878.3,4.78E+01,-4.78E+01,0.026364,1.50E-03,-7.31E-04,0.60377,0.041,-0.25392,1.67,0.13,-1.70E-01,0.0772,,,89.99,,,515,,,15.14,1,-1,4260,115,-140,4.663,0.06,-0.024,0.58,0.044,-0.06,297.33563,41.89048,15.719
1638,6665223,K01232.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,119.4081716,6.61E-05,-6.61E-05,0,,,0.915,0.013,-0.011,9.3537,0.0357,-0.0357,18563.3,5.50E+01,-5.50E+01,0.170803,6.78E-03,-6.85E-03,0.47946,0.00997,-0.01917,16.26,1.31,-1.30E+00,0.4466,,,89.26,,,328,,,71.23,1.5,-1.5,5316,106,-106,4.477,0.077,-0.056,0.872,0.07,-0.07,281.74261,42.123081,14.427
1639,6665223,K01232.02,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,419.9750784,,,0,,,0.68,,,12.1687,,,275.1,,,0.016067,0.00E+00,0.00E+00,0.84601,0,0,1.53,0.12,-1.20E-01,1.0328,,,89.8,,,215,,,199.062001,,,5316,106,-106,4.477,0.077,-0.056,0.872,0.07,-0.07,281.74261,42.123081,14.427
1640,6545358,K01233.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,1.171536413,9.84E-07,-9.84E-07,0,,,0.973,0.48,-0.022,1.5878,0.0441,-0.0441,1132.7,2.12E+01,-2.12E+01,0.043929,4.11E-01,-6.26E-03,0.17963,0.00237,-0.0864,7.12,1.98,-1.06E+00,0.025,,,65.58,,,2387,,,2.3533,0.031,-0.031,7021,219,-406,4.275,0.078,-0.182,1.485,0.411,-0.221,297.88437,41.931252,15.634
1641,6390824,K01234.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,0.973547911,1.60E-06,-1.60E-06,0,,,1.097,1.757,-0.054,2.2858,0.0809,-0.0809,435.7,1.39E+01,-1.39E+01,0.122228,1.75E+00,-5.09E-02,0.04851,0.49699,-0.00355,11.52,3.28,-1.03E+00,0.0189,,,35.3,,,1814,,,1.345,0.656,-0.656,6084,171,-214,4.542,0.048,-0.192,0.863,0.246,-0.077,298.79498,41.759769,15.46
1642,6546528,K01235.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.053563251,6.11E-06,-6.11E-06,0,,,1.208,5.729,-0.113,3.2551,0.0839,-0.0839,508.4,1.22E+01,-1.22E+01,0.231182,5.73E+00,-1.08E-01,0.01892,0.89748,-0.00237,21.79,5.1,-1.82E+00,0.0407,,,54.99,,,1171,,,2.1,1.1,-1.1,5764,155,-155,4.548,0.04,-0.16,0.863,0.202,-0.072,298.13525,41.95105,14.598
1643,6677841,K01236.01,Kepler-279 c,CONFIRMED,FALSE POSITIVE,0.086,1,0,0,0,35.7353616,1.22E-04,-1.22E-04,0,,,0.878,0.051,-0.613,8.491,0.214,-0.214,778.8,1.41E+01,-1.41E+01,0.029539,7.05E-04,-3.16E-03,0.07669,0.43688,-0.04179,5.47,0.92,-1.22E+00,0.2236,,,87.09,,,774,,,17.3,8.2,-8.2,6366,116,-116,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659
1644,6677841,K01236.02,Kepler-279 b,CONFIRMED,FALSE POSITIVE,0.242,1,0,0,0,12.30971679,4.79E-05,-4.79E-05,0,,,0.847,0.037,-0.598,6.74,0.149,-0.149,396,9.30E+00,-9.30E+00,0.020619,2.39E-04,-2.29E-03,0.06379,0.26498,-0.05288,3.82,0.64,-8.50E-01,0.1099,,,83.92,,,1104,,,7.99,3.7,-3.7,6366,116,-116,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659
1645,6677841,K01236.04,,CANDIDATE,CANDIDATE,0.94,0,0,0,0,98.353149,1.79E-03,-1.79E-03,0,,,0.906,0.029,-0.623,24.708,0.658,-0.658,423,1.44E+01,-1.44E+01,0.022291,3.55E-03,-3.07E-03,0.00587,0.05281,-0.00468,4.13,0.69,-9.20E-01,0.439,,,86.4,,,552,,,14.43,7.2,-7.2,6366,116,-116,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659
1646,6531491,K01237.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,14.32407216,4.29E-05,-4.29E-05,0,,,1.292,65.48,-0.212,4.6577,0.0965,-0.0965,2053.9,4.24E+01,-4.24E+01,0.342462,6.55E+01,-2.08E-01,0.05943,54.13572,-0.00076,38.86,12.37,-4.42E+00,0.1199,,,81.4,,,782,,,8.64,4.3,-4.3,6022,190,-232,4.453,0.054,-0.216,1.039,0.331,-0.118,294.58929,41.944382,15.609
1647,6383821,K01238.01,Kepler-797 b,CONFIRMED,CANDIDATE,1,0,0,0,0,27.07237655,8.99E-05,-8.99E-05,0,,,0.015,0.385,-0.015,6.9592,0.0871,-0.0871,514.2,1.36E+01,-1.36E+01,0.020659,5.83E-04,-3.13E-04,0.72049,0.03348,-0.18882,2.18,0.27,-9.00E-02,0.181,,,89.97,,,605,,,30.33,1.4,-1.4,5936,65,-94,4.501,0.016,-0.093,0.965,0.119,-0.04,297.20895,41.781712,14.556
1648,6607286,K01239.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,0.783276173,1.27E-06,-1.27E-06,0,,,0.041,0.4,-0.04,1.6735,0.0357,-0.0357,264.7,6.70E+00,-6.70E+00,0.014734,4.98E-04,-2.27E-04,1.5282,0.0994,-0.47255,1.98,0.31,-3.40E-01,0.0165,,,89.37,,,2149,,,3.673,0.239,-0.239,5640,76,-76,4.247,0.162,-0.108,1.233,0.19,-0.211,292.17859,42.005909,15.005
1649,6607286,K01239.02,,CANDIDATE,CANDIDATE,0.545,0,0,0,0,3.17405898,1.10E-05,-1.10E-05,0,,,0.422,0.042,-0.422,2.3156,0.0703,-0.0703,282.2,1.08E+01,-1.08E+01,0.015521,3.56E-04,-6.65E-04,1.71209,0.85717,-0.22134,2.09,0.32,-3.60E-01,0.042,,,87.51,,,1348,,,9.7,2.4,-2.4,5640,76,-76,4.247,0.162,-0.108,1.233,0.19,-0.211,292.17859,42.005909,15.005
1650,6690082,K01240.01,Kepler-280 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.1395563,3.11E-06,-3.11E-06,0,,,0.368,0.094,-0.368,2.0678,0.0381,-0.0381,266.1,6.30E+00,-6.30E+00,0.014957,2.54E-04,-5.07E-04,1.748,0.48481,-0.36059,1.76,0.27,-2.40E-01,0.0317,,,87.19,,,1425,,,7.51,2.1,-2.1,5534,82,-74,4.338,0.138,-0.103,1.08,0.165,-0.15,291.3905,42.180592,14.466
1651,6690082,K01240.02,Kepler-280 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.807103254,5.90E-06,-5.90E-06,0,,,0.94,0.007,-0.651,0.9393,0.0357,-0.0357,450.5,1.89E+01,-1.89E+01,0.025102,1.11E-04,-5.21E-03,3.39526,65.33417,-1.31898,2.96,0.45,-4.10E-01,0.0544,,,86.65,,,1088,,,16.07,7.9,-7.9,5534,82,-74,4.338,0.138,-0.103,1.08,0.165,-0.15,291.3905,42.180592,14.466
1652,6448890,K01241.01,Kepler-56 c,CONFIRMED,CANDIDATE,1,0,0,0,0,21.4054422,1.20E-04,-1.20E-04,0,,,0.943,0.005,-0.031,11.721,0.368,-0.368,409.3,7.50E+00,-7.50E+00,0.024433,2.13E-04,-1.45E-03,0.00747,0.00344,-0.0036,11.64,0.79,-1.71E+00,0.1681,,,80.4,,,1087,,,5.66,2.6,-2.6,4838,65,-79,3.299,0.05,-0.041,4.361,0.296,-0.641,293.75836,41.871868,12.44
1653,6448890,K01241.02,Kepler-56 b,CONFIRMED,FALSE POSITIVE,0.098,1,0,0,0,10.5007712,1.31E-04,-1.31E-04,0,,,0.034,0.325,-0.034,14.522,0.281,-0.281,183.4,4.50E+00,-4.50E+00,0.011923,3.38E-04,-2.06E-04,0.03041,0.00125,-0.0074,5.68,0.38,-8.40E-01,0.1046,,,89.66,,,1378,,,5.617,0.231,-0.231,4838,65,-79,3.299,0.05,-0.041,4.361,0.296,-0.641,293.75836,41.871868,12.44
1654,6607447,K01242.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,99.6442783,1.07E-04,-1.07E-04,0,,,0.966,0.029,-0.018,5.1772,0.0643,-0.0643,3215.6,2.96E+01,-2.96E+01,0.076417,1.62E-02,-1.21E-02,0.64597,0.04748,-0.13057,8.48,1.27,-5.50E-01,0.4283,,,89.21,,,415,,,69.73,5.1,-5.1,6102,82,-91,4.447,0.04,-0.12,1.016,0.153,-0.066,292.22839,42.03537,13.75
1655,6677256,K01243.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,3.125814002,8.55E-06,-8.55E-06,0,,,0.506,0.048,-0.443,1.7895,0.0683,-0.0683,238.8,9.20E+00,-9.20E+00,0.014604,1.86E-04,-6.56E-04,3.14445,2.36135,-0.15483,1.88,0.61,-2.60E-01,0.0436,,,87.53,,,1460,,,11.75,4.4,-4.4,6358,179,-246,4.346,0.101,-0.203,1.181,0.381,-0.163,287.14944,42.105209,14.521
1656,6692833,K01244.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,10.80487163,3.98E-05,-3.98E-05,0,,,0.207,0.264,-0.206,2.7215,0.0901,-0.0901,292.7,1.24E+01,-1.24E+01,0.015724,5.65E-04,-4.54E-04,4.44932,0.51433,-1.64181,1.71,0.51,-1.80E-01,0.098,,,89.61,,,857,,,30.17,3.5,-3.5,6092,168,-210,4.471,0.052,-0.195,0.998,0.294,-0.105,292.23724,42.154289,14.503
1657,6693640,K01245.01,Kepler-798 b,CONFIRMED,CANDIDATE,1,0,0,0,0,13.71938426,4.91E-05,-4.91E-05,0,,,0.022,0.359,-0.022,5.5677,0.0723,-0.0723,316.4,7.60E+00,-7.60E+00,0.016377,3.85E-04,-2.21E-04,0.70442,0.02161,-0.2008,1.98,0.61,-2.20E-01,0.1174,,,89.93,,,864,,,19.137,0.587,-0.587,6387,153,-211,4.41,0.067,-0.202,1.105,0.345,-0.123,292.47821,42.142288,14.2
